SK_ID_CURR,ext_source_3,ext_source_2,replacement_occupation_laborers,days_birth,age,code_gender_m,code_gender_f,name_income_type_working,name_education_type_higher_education,region_rating_client_w_city,region_rating_client,days_id_publish,name_education_type_secondary__secondary_special,intervalle_age_2635,intervalle_age_5665,occupation_type_laborers,flag_document_3,flag_emp_phone,occupation_type_pensioner,name_income_type_pensioner,replacement_occupation_pensioner,organization_type_xna,days_last_phone_change,days_employed,totalarea_mode,name_contract_type,region_population_relative,days_registration,replacement_occupation_core_staff,def_60_cnt_social_circle,occupation_type_drivers,replacement_occupation_managers,def_30_cnt_social_circle,organization_type_business_entity_type_3,intervalle_age_66,organization_type_selfemployed,amt_credit,amt_goods_price,reg_city_not_work_city,intervalle_age_025,flag_document_6,name_housing_type_with_parents,occupation_type_core_staff,occupation_type_lowskill_laborers,name_housing_type_house__apartment,occupation_type_managers,flag_work_phone,flag_phone,name_income_type_state_servant,name_family_status_civil_marriage,occupation_type_sales_staff,reg_city_not_live_city,intervalle_revenu_225001,hour_appr_process_start,occupation_type_accountants,duree_moyenne_credit,name_family_status_widow,live_city_not_work_city,flag_own_car,name_family_status_married,name_family_status_single__not_married,organization_type_school,amt_req_credit_bureau_year,occupation_type_security_staff,amt_annuity,organization_type_construction,intervalle_age_4655,cnt_children,name_housing_type_rented_apartment,obs_30_cnt_social_circle,obs_60_cnt_social_circle,occupation_type_cooking_staff,organization_type_transport_type_3,amt_req_credit_bureau_mon,flag_document_13,organization_type_bank,intervalle_revenu_90001135000,emergencystate_mode,occupation_type_high_skill_tech_staff,organization_type_medicine,name_income_type_commercial_associate,intervalle_age_3645,organization_type_restaurant,flag_document_14,organization_type_trade_type_3,years_beginexpluatation_medi,years_beginexpluatation_avg,organization_type_other,organization_type_police,organization_type_university,organization_type_transport_type_4,occupation_type_waitersbarmen_staff,intervalle_revenu_135001180000,years_beginexpluatation_mode,cnt_fam_members,occupation_type_medicine_staff,name_housing_type_municipal_apartment,organization_type_security,organization_type_security_ministries,organization_type_military,name_education_type_lower_secondary,flag_document_18,flag_document_16,organization_type_business_entity_type_2,organization_type_trade_type_7,organization_type_trade_type_6,name_housing_type_office_apartment,occupation_type_cleaning_staff,name_education_type_academic_degree,organization_type_industry_type_12,occupation_type_it_staff,organization_type_electricity,organization_type_kindergarten,organization_type_culture,flag_document_17,flag_document_15,weekday_appr_process_start_saturday,intervalle_revenu_180001225000,flag_document_11,organization_type_government
333371,0.3344541255096772,0.7237157327818393,1,-16322,44.71780821917808,0,1,1,0,3,3,-4145,0,0,0,0,1,1,0,0,0,0,-1875.0,-1673,0.0657,0,0.006296,-9584.0,0,0.0,0,0,0.0,0,0,0,746280.0,746280.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,14.924406047516198,0,0,0,0,1,0,5.0,0,50004.0,0,0,0,0,0.0,0.0,0,1,1.0,0,0,0,0,1,0,0,1,0,0,0,0.9856,0.9856,0,0,0,0,0,1,0.9856,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170712,0.6347055309763198,0.180370186815285,0,-21584,59.13424657534247,0,1,0,0,3,3,-3039,1,0,1,0,0,0,1,1,1,1,-290.0,365243,0.008,0,0.020246,-2177.0,0,0.0,0,0,0.0,0,0,0,436032.0,436032.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8,0,26.32328171692475,0,0,0,1,0,0,5.0,0,16564.5,0,0,0,0,1.0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.9826,0.9826,0,0,0,0,0,1,0.9826,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427507,0.7380196196295241,0.7166520231782578,0,-17804,48.778082191780825,0,1,0,0,1,1,-1334,0,0,0,0,1,1,0,0,0,0,-1017.0,-1666,0.2065,0,0.072508,-11809.0,0,0.0,0,0,0.0,0,0,0,724581.0,724581.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,14,0,22.70417371686408,0,0,0,1,0,0,4.0,0,31914.0,0,1,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.9791,0.9796,0,0,0,0,0,0,0.9791,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
258301,0.7252764347002191,0.3229868855428948,1,-18989,52.02465753424657,1,0,0,0,2,2,-2511,1,0,0,0,1,1,0,0,0,0,-2502.0,-1098,0.0522,0,0.007114,-1888.0,0,0.0,1,0,0.0,0,0,1,816660.0,816660.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,31.00102494021182,0,0,1,1,0,0,4.0,0,26343.0,0,1,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.981174499999999,0.9799907868023447,0,0,0,0,0,0,0.9778969505494512,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
119937,0.2188590822283744,0.6393148186174827,1,-8238,22.56986301369863,1,0,0,0,2,2,-874,1,0,0,1,0,1,0,0,0,0,0.0,-1171,0.0313,1,0.010276,-1167.0,0,0.0,0,0,0.0,0,0,0,270000.0,270000.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,12,0,20.0,0,0,0,1,0,0,3.0,0,13500.0,1,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.9717,0.9717,0,0,0,0,0,0,0.9717,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139765,0.5136937663039473,0.7177386751210406,1,-12107,33.16986301369863,1,0,1,0,2,2,-4668,1,1,0,0,1,1,0,0,0,0,-1755.0,-4933,0.042,0,0.022625,-6263.0,0,0.0,0,0,0.0,0,0,0,360000.0,360000.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,13,0,16.450750565494552,0,0,0,1,0,0,5.0,0,21883.5,0,0,2,0,4.0,4.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.9707,0.9707,0,0,0,0,0,1,0.9707,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338549,0.520897599048938,0.590403461011275,1,-13541,37.0986301369863,0,1,1,0,2,2,-4853,1,0,0,0,1,1,0,0,0,0,0.0,-122,0.0201,0,0.010032,-5040.0,0,0.0,0,0,0.0,0,0,0,112068.0,112068.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,7,0,15.36335595311536,0,1,0,0,0,0,2.0,0,7294.5,0,0,1,0,3.0,3.0,0,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0.9752,0.9752,0,0,0,0,0,0,0.9752,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289386,0.4848514754962666,0.5212498326474582,0,-21016,57.57808219178082,0,1,0,0,3,3,-4489,1,0,1,0,1,0,1,1,1,1,-1233.0,365243,0.061,0,0.020246,-1170.0,0,0.0,0,0,0.0,0,0,0,797557.5,797557.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,30.11128100577642,0,0,1,1,0,0,3.0,0,26487.0,0,0,0,0,0.0,0.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.9876,0.9876,0,0,0,0,0,1,0.9876,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166680,0.5989262182569273,0.4469871199507649,1,-15759,43.175342465753424,1,0,1,0,2,2,-4496,1,0,0,0,1,1,0,0,0,0,0.0,-5063,0.0166,0,0.010643,-8145.0,0,0.0,0,0,0.0,0,0,0,808650.0,808650.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,16,0,30.84449021627189,0,0,0,0,1,0,0.0,0,26217.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0.9692,0.9692,0,0,0,0,0,0,0.9692,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131725,0.3296550543128238,0.6966305151295921,1,-10580,28.98630136986301,0,1,1,0,2,2,-3211,1,1,0,1,1,1,0,0,0,0,-1506.0,-1917,0.0897,0,0.028663,-2923.0,0,0.0,0,0,0.0,0,0,0,342000.0,342000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,34.89439853076217,0,0,0,1,0,0,1.0,0,9801.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.9871,0.9871,0,0,0,0,0,0,0.9871,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
